text,rating,date,useful_votes,producto,text_clean,text_length,year_month
"Más allá de que estaría bueno que te vengas con el cargador y no un cable usb raro, el celular es excelente. Buen rendimiento, la camara no es wow pero se la banca, saca fotos con gran angular y eso está bueno. La batería me llega a durar días dependiendo del uso, lo recomiendo para quien quiera un celular bueno sin quedarse en la quiebra.",5,2025-03-07,1,Samsung A15,mas alla de que estaria bueno que te vengas con el cargador y no un cable usb raro el celular es excelente buen rendimiento la camara no es wow pero se la banca saca fotos con gran angular y eso esta bueno la bateria me llega a durar dias dependiendo del uso lo recomiendo para quien quiera un celular bueno sin quedarse en la quiebra,65,2025-03
"Lo unico malo q no trae cargador, hay q hacer un gasto aparte.",5,2025-02-26,1,Samsung A15,lo unico malo q no trae cargador hay q hacer un gasto aparte,13,2025-02
"Buscaba un celular de gama media con más memoria y buena cámara. La verdad estoy muy conforme, es lo que necesitaba.",5,2025-01-20,1,Samsung A15,buscaba un celular de gama media con mas memoria y buena camara la verdad estoy muy conforme es lo que necesitaba,21,2025-01
"Hace poco menos de una semana que lo estoy usando, el producto es bueno teniendo en cuenta que lo estoy comparando con motorola. Pero es muy pronto para ponderarlo.",5,2025-01-18,1,Samsung A15,hace poco menos de una semana que lo estoy usando el producto es bueno teniendo en cuenta que lo estoy comparando con motorola pero es muy pronto para ponderarlo,29,2025-01
"Se esperaria que al comprar un telefono, este cuente con. Su cargador.",5,2024-12-31,1,Samsung A15,se esperaria que al comprar un telefono este cuente con su cargador,12,2024-12
Todo bien. Lastima que no tree cargador.,5,2024-12-28,1,Samsung A15,todo bien lastima que no tree cargador,7,2024-12
"Es espectacular lo compré para regalarle a mi mamá, quedó enloquecida con su celular nuevo. Lo recomiendo al 100 x 100, lo malo que no trae el transformador para cargar, pero ahora parece que samsung recortó ese accesorio.",5,2024-12-26,1,Samsung A15,es espectacular lo compre para regalarle a mi mama quedo enloquecida con su celular nuevo lo recomiendo al 100 x 100 lo malo que no trae el transformador para cargar pero ahora parece que samsung recorto ese accesorio,38,2024-12
"Hermoso el celular recomendable , lo único que no viene el cargador lo malo.",5,2024-12-26,1,Samsung A15,hermoso el celular recomendable  lo unico que no viene el cargador lo malo,13,2024-12
"Muy buen celular, lo único malo es el cable para cargar, ya que tiene de los dos lados la misma ficha.",5,2024-12-26,1,Samsung A15,muy buen celular lo unico malo es el cable para cargar ya que tiene de los dos lados la misma ficha,21,2024-12
Una marca mas que conocida por todos. Lo único malo es que te viene sin el cargador.,5,2024-12-23,1,Samsung A15,una marca mas que conocida por todos lo unico malo es que te viene sin el cargador,17,2024-12
"Muy bueno, se lo regale a mi hija y le encantó, volvería a comprar uno para mí jaja.",5,2024-12-04,1,Samsung A15,muy bueno se lo regale a mi hija y le encanto volveria a comprar uno para mi jaja,18,2024-12
"Excelente producto, lo usa mí esposa que solo saca fotos y manda whatsapp. Así que le va como piña de padrastro.",5,2024-12-01,1,Samsung A15,excelente producto lo usa mi esposa que solo saca fotos y manda whatsapp asi que le va como pina de padrastro,21,2024-12
Todo perfecto!.,5,2024-11-11,1,Samsung A15,todo perfecto,2,2024-11
